+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+-------------+------------+
| 9559  | 0   | 9544 | 0   | 15  | 0   | GET    | /api/chair/notification                              | 0.003 | 0.686  | 984.179 | 0.103 | 0.250 | 0.306 | 0.408  | 0.097  | 0.000      | 267.000    | 949724.000  | 99.354     |
| 1761  | 0   | 1754 | 0   | 7   | 0   | GET    | /api/app/notification                                | 0.027 | 0.951  | 535.142 | 0.304 | 0.473 | 0.534 | 0.660  | 0.128  | 0.000      | 431.000    | 674277.000  | 382.894    |
| 2140  | 0   | 2140 | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.030 | 0.632  | 417.928 | 0.195 | 0.299 | 0.342 | 0.423  | 0.077  | 29.000     | 29.000     | 62060.000   | 29.000     |
| 82    | 0   | 82   | 0   | 0   | 0   | GET    | /api/owner/chairs                                    | 0.187 | 4.411  | 258.862 | 3.157 | 3.983 | 4.153 | 4.411  | 0.614  | 736.000    | 18979.000  | 82185.000   | 1002.256   |
| 87    | 0   | 81   | 0   | 0   | 6   | GET    | /api/internal/matching                               | 0.001 | 50.049 | 157.350 | 1.809 | 0.353 | 0.699 | 50.049 | 9.114  | 124.000    | 166.000    | 870.000     | 10.000     |
| 24    | 0   | 24   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 2.748 | 4.577  | 98.302  | 4.096 | 4.547 | 4.569 | 4.577  | 0.500  | 39.000     | 899.000    | 8207.000    | 341.958    |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.186 | 0.460  | 7.055   | 0.353 | 0.448 | 0.448 | 0.460  | 0.107  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.040 | 0.417  | 4.498   | 0.321 | 0.417 | 0.417 | 0.417  | 0.136  | 0.000      | 0.000      | 0.000       | 0.000      |
| 22    | 0   | 22   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.061 | 0.564  | 4.141   | 0.188 | 0.298 | 0.366 | 0.564  | 0.115  | 51.000     | 52.000     | 1139.000    | 51.773     |
| 8     | 0   | 8    | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.117 | 0.593  | 3.075   | 0.384 | 0.593 | 0.593 | 0.593  | 0.128  | 433.000    | 8997.000   | 12106.000   | 1513.250   |
| 27    | 0   | 27   | 0   | 0   | 0   | GET    | /api/app/rides                                       | 0.002 | 0.373  | 2.454   | 0.091 | 0.241 | 0.359 | 0.373  | 0.101  | 12.000     | 2146.000   | 7364.000    | 272.741    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 1.855 | 1.855  | 1.855   | 1.855 | 1.855 | 1.855 | 1.855  | 0.000  | 19.000     | 19.000     | 19.000      | 19.000     |
| 26    | 0   | 26   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                        | 0.001 | 0.149  | 1.246   | 0.048 | 0.102 | 0.116 | 0.149  | 0.038  | 26.000     | 29.000     | 718.000     | 27.615     |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/users                                       | 0.006 | 0.313  | 0.765   | 0.055 | 0.247 | 0.313 | 0.313  | 0.095  | 86.000     | 86.000     | 1204.000    | 86.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZG6DDW57312003Z99C9KJ/evaluation | 0.438 | 0.438  | 0.438   | 0.438 | 0.438 | 0.438 | 0.438  | 0.000  | 42.000     | 42.000     | 42.000      | 42.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZG3C913QXTC6M1RHJVG0J/status   | 0.111 | 0.283  | 0.394   | 0.197 | 0.283 | 0.283 | 0.283  | 0.086  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZG3C913QXTC6M1RHJVG0J/evaluation | 0.387 | 0.387  | 0.387   | 0.387 | 0.387 | 0.387 | 0.387  | 0.000  | 42.000     | 42.000     | 42.000      | 42.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZEX31YHAHPE5B6NG873VQ/evaluation | 0.382 | 0.382  | 0.382   | 0.382 | 0.382 | 0.382 | 0.382  | 0.000  | 41.000     | 41.000     | 41.000      | 41.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZEX0GAQFTQX8B7YK3JSNS/evaluation | 0.375 | 0.375  | 0.375   | 0.375 | 0.375 | 0.375 | 0.375  | 0.000  | 42.000     | 42.000     | 42.000      | 42.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZFK8SG5RM2RM3RN2MVRKE/evaluation | 0.369 | 0.369  | 0.369   | 0.369 | 0.369 | 0.369 | 0.369  | 0.000  | 42.000     | 42.000     | 42.000      | 42.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX0GAQFTQX8B7YK3JSNS/status   | 0.074 | 0.265  | 0.339   | 0.170 | 0.265 | 0.265 | 0.265  | 0.096  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX31YHAHPE5B6NG873VQ/status   | 0.144 | 0.180  | 0.324   | 0.162 | 0.180 | 0.180 | 0.180  | 0.018  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZEWZ0P7X7H0Z8ZNAS79AQ/evaluation | 0.289 | 0.289  | 0.289   | 0.289 | 0.289 | 0.289 | 0.289  | 0.000  | 41.000     | 41.000     | 41.000      | 41.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZEWWWWMJGX16WD3W5P14J/evaluation | 0.287 | 0.287  | 0.287   | 0.287 | 0.287 | 0.287 | 0.287  | 0.000  | 41.000     | 41.000     | 41.000      | 41.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZG6DDW57312003Z99C9KJ/status   | 0.131 | 0.155  | 0.286   | 0.143 | 0.155 | 0.155 | 0.155  | 0.012  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JEHZEX0H9GGAXRT6XA7ZK4HC/evaluation | 0.233 | 0.233  | 0.233   | 0.233 | 0.233 | 0.233 | 0.233  | 0.000  | 42.000     | 42.000     | 42.000      | 42.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEWZ0P7X7H0Z8ZNAS79AQ/status   | 0.047 | 0.169  | 0.216   | 0.108 | 0.169 | 0.169 | 0.169  | 0.061  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEWWWWMJGX16WD3W5P14J/status   | 0.045 | 0.166  | 0.211   | 0.106 | 0.166 | 0.166 | 0.166  | 0.061  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX0H9GGAXRT6XA7ZK4HC/status   | 0.074 | 0.113  | 0.187   | 0.093 | 0.113 | 0.113 | 0.113  | 0.020  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZFK8SG5RM2RM3RN2MVRKE/status   | 0.083 | 0.088  | 0.171   | 0.085 | 0.088 | 0.088 | 0.088  | 0.002  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.168 | 0.168  | 0.168   | 0.168 | 0.168 | 0.168 | 0.168  | 0.000  | 9163.000   | 9163.000   | 9163.000    | 9163.000   |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                    | 0.006 | 0.014  | 0.149   | 0.007 | 0.008 | 0.008 | 0.014  | 0.002  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEZXJMCSHMSF92G38P1N0/status   | 0.127 | 0.127  | 0.127   | 0.127 | 0.127 | 0.127 | 0.127  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZFQNV2JD8TPD786YHBCDT/status   | 0.118 | 0.118  | 0.118   | 0.118 | 0.118 | 0.118 | 0.118  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX2V5FXEYBK7CTR1J2E5/status   | 0.115 | 0.115  | 0.115   | 0.115 | 0.115 | 0.115 | 0.115  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX1FBACEX4KAKNDB69J0/status   | 0.095 | 0.095  | 0.095   | 0.095 | 0.095 | 0.095 | 0.095  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZG8VA4GD6CK15YNPJR97F/status   | 0.089 | 0.089  | 0.089   | 0.089 | 0.089 | 0.089 | 0.089  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZFFQDADE3MX525M3KV976/status   | 0.088 | 0.088  | 0.088   | 0.088 | 0.088 | 0.088 | 0.088  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZFFANPX9CD90TXFDE82DR/status   | 0.080 | 0.080  | 0.080   | 0.080 | 0.080 | 0.080 | 0.080  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX2HFW9FVASPC5PHS6VS/status   | 0.058 | 0.058  | 0.058   | 0.058 | 0.058 | 0.058 | 0.058  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZG0HCXV4NXT55GPV2FEAK/status   | 0.055 | 0.055  | 0.055   | 0.055 | 0.055 | 0.055 | 0.055  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                    | 0.006 | 0.009  | 0.033   | 0.007 | 0.009 | 0.009 | 0.009  | 0.001  | 125.000    | 125.000    | 625.000     | 125.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JEHZEX0HAXQ40H5N5Q07C8CV/status   | 0.030 | 0.030  | 0.030   | 0.030 | 0.030 | 0.030 | 0.030  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js                       | 0.000 | 0.005  | 0.017   | 0.000 | 0.000 | 0.001 | 0.005  | 0.001  | 0.000      | 184569.000 | 3691380.000 | 27754.737  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                                   | 0.001 | 0.001  | 0.001   | 0.001 | 0.001 | 0.001 | 0.001  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Bhv1gox0.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 2361.000   | 2361.000   | 2361.000    | 2361.000   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /favicon-32x32.png                                   | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 336.000    | 6720.000    | 50.526     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js                 | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1757.000   | 1757.000   | 1757.000    | 1757.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1148.000   | 1148.000   | 1148.000    | 1148.000   |
| 87    | 0   | 6    | 81  | 0   | 0   | GET    | /assets/route-DzrPVuAG.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 1908.000   | 11448.000   | 131.586    |
| 52    | 0   | 20   | 32  | 0   | 0   | GET    | /assets/text-DfCqYLRl.js                             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 505.000    | 10100.000   | 194.231    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/house2.svg                                   | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 6430.000   | 96450.000   | 2052.128   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                          | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 704.000    | 704.000    | 704.000     | 704.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png                        | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 87    | 0   | 6    | 81  | 0   | 0   | GET    | /assets/owner-context-DCgOhQtd.js                    | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 1077.000   | 6462.000    | 74.276     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/price-D-o-ix3Y.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1793.000   | 1793.000   | 1793.000    | 1793.000   |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /assets/route-BbZUnrjQ.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1029.000   | 1029.000   | 15435.000   | 1029.000   |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/buildings1.svg                               | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 13886.000  | 208290.000  | 4431.702   |
